,date,gap,gap_direction,filled
221,2019-03-20,-0.12000000000000455,down,True
222,2019-03-21,-0.7800000000000296,down,True
223,2019-03-22,-1.2800000000000296,down,False
224,2019-03-25,-0.6700000000000159,down,True
225,2019-03-26,1.9800000000000182,up,False
226,2019-03-27,0.2599999999999909,up,True
227,2019-03-28,0.6100000000000136,up,True
228,2019-03-29,1.669999999999959,up,False
229,2019-04-01,2.159999999999968,up,False
230,2019-04-02,0.4000000000000341,up,True
231,2019-04-03,1.5,up,True
232,2019-04-04,0.2699999999999818,up,True
233,2019-04-05,0.6299999999999955,up,False
234,2019-04-08,-0.46999999999997044,down,True
235,2019-04-09,-1.0599999999999454,down,False
236,2019-04-10,0.5799999999999841,up,False
237,2019-04-11,0.5,up,True
238,2019-04-12,1.8199999999999932,up,False
239,2019-04-15,0.12999999999999545,up,True
240,2019-04-16,0.9599999999999795,up,True
241,2019-04-17,1.17999999999995,up,True
242,2019-04-18,0.7600000000000477,up,True
243,2019-04-22,-0.8700000000000045,down,True
244,2019-04-23,0.4000000000000341,up,False
245,2019-04-24,-0.17000000000001592,down,True
246,2019-04-25,-0.160000000000025,down,True
247,2019-04-26,0.060000000000002274,up,True
248,2019-04-29,0.12000000000000455,up,False
249,2019-04-30,-0.2799999999999727,down,True
250,2019-05-01,0.660000000000025,up,True
251,2019-05-02,-0.05000000000001137,down,True
252,2019-05-03,1.6399999999999864,up,False
253,2019-05-06,-4.759999999999991,down,False
254,2019-05-07,-2.8000000000000114,down,False
255,2019-05-08,-0.7299999999999613,down,True
256,2019-05-09,-2.569999999999993,down,False
257,2019-05-10,-1.1200000000000045,down,True
258,2019-05-13,-5.639999999999986,down,False
259,2019-05-14,1.0499999999999545,up,False
260,2019-05-15,-1.8400000000000318,down,True
261,2019-05-16,0.8599999999999568,up,False
262,2019-05-17,-2.490000000000009,down,True
263,2019-05-20,-1.8199999999999932,down,False
264,2019-05-21,1.7699999999999818,up,False
265,2019-05-22,-1.0,down,True
266,2019-05-23,-2.5200000000000387,down,False
267,2019-05-24,1.740000000000009,up,False
268,2019-05-28,0.2699999999999818,up,True
269,2019-05-29,-1.5,down,False
270,2019-05-30,0.8300000000000409,up,True
271,2019-05-31,-2.840000000000032,down,False
272,2019-06-03,-0.21999999999997044,down,True
273,2019-06-04,2.4499999999999886,up,False
274,2019-06-05,1.669999999999959,up,True
275,2019-06-06,0.3100000000000023,up,True
276,2019-06-07,1.1800000000000068,up,False
277,2019-06-10,1.9700000000000273,up,False
278,2019-06-11,2.0500000000000114,up,True
279,2019-06-12,-0.18999999999999773,down,True
280,2019-06-13,1.099999999999966,up,False
